%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
CONTRADICTION	 ( A_woman  ( is  ( dancing_and_singing  ( with  ( other women  )  )  )  )  ) 	 ( A_woman  ( is  ( dancing_and_singing alone  )  )  ) 	3.285	1236
CONTRADICTION	 ( There  ( is  (  ( no man  ) opening_a_box_with_a_knife  )  )  ) 	 (  ( A man  )  ( is opening_a_box_with_a_knife  )  ) 	3.8	4843
NEUTRAL	 ( A_man  ( is  ( parking  ( a_car  ( in  ( a garage  )  )  )  )  )  ) 	 ( A_man  ( is  ( getting  ( into a_car  )  )  )  ) 	3.4	2679
NEUTRAL	 ( The_lady  ( is  (  ( slicing up  )  ( the meat  )  )  )  ) 	 ( The_lady  (  ( is n't  )  ( cracking  (  ( an egg  )  ( for  ( the mixer  )  )  )  )  )  ) 	2.335	2662
ENTAILMENT	 ( Two_dogs  ( are  ( playing  ( by  ( a tree  )  )  )  )  ) 	 ( Two_dogs  ( are  ( playing  ( by  ( a plant  )  )  )  )  ) 	4.6	211
NEUTRAL	 ( A_man  (  ( is carelessly  )  ( holding  ( a frog  )  )  )  ) 	 ( A_man  ( is  ( emptying  (  ( a container  )  ( made  ( of plastic  )  )  )  )  )  ) 	1.1	1711
NEUTRAL	 (  ( A man  )  (  ( is lazily  )  (  ( walking down  )  ( a road  )  )  )  ) 	 (  ( The man  )  ( is  (  ( walking  ( along  ( a path  )  )  )  ( through  ( the wilderness  )  )  )  )  ) 	3.285	3862
NEUTRAL	 (  ( Two  ( young girls  )  )  ( are  (  (  ( wearing hats  ) and  )  (  ( sticking  ( their colored_tongues  )  ) out  )  )  )  ) 	 (  ( Two kids  )  ( are  (  ( sticking out  )  (  (  ( blue and  ) green  ) colored_tongues  )  )  )  ) 	3.6	9056
NEUTRAL	 (  ( No lady  )  (  (  ( is  ( standing  ( on  ( the street  )  )  )  ) and  )  ( is  ( surrounded  ( by  ( school children  )  )  )  )  )  ) 	 (  (  ( A woman  )  ( in  ( blue jeans  )  )  )  ( is  (  ( standing  ( in  ( front  ( of  (  ( a group  )  ( of children  )  )  )  )  )  )  ( beside  (  ( a stone  )  ( built house  )  )  )  )  )  ) 	3.2	9198
NEUTRAL	 (  ( A man  )  ( is  ( packing the_guitar  )  )  ) 	 (  ( The man  )  ( is  (  (  ( singing and  ) playing  ) the_guitar  )  )  ) 	3.4	3910
NEUTRAL	 (  (  ( A  ( little child  )  )  ( in  ( a  ( pink sweater  )  )  )  )  ( is  ( climbing  ( a  ( concrete staircase  )  )  )  )  ) 	 (  ( A  ( small child  )  )  ( is  ( outdoors  ( climbing  ( steps  ( in  ( a  ( grassy area  )  )  )  )  )  )  )  ) 	3.5	6709
ENTAILMENT	 (  ( The person  ) is_scrubbing_a_zucchini  ) 	 (  ( A person  ) is_scrubbing_a_zucchini  ) 	5	3790
NEUTRAL	 (  ( An onion  )  ( is  ( being  ( sliced  ( by  ( a woman  )  )  )  )  )  ) 	 (  ( The woman  )  ( is  ( cutting  ( a carrot  )  )  )  ) 	2.4	2932
CONTRADICTION	 (  ( A surfer  )  ( is  (  ( riding  ( a  ( big wave  )  )  )  ( across  ( dark  ( green water  )  )  )  )  )  ) 	 (  ( The surfer  )  ( is  ( riding  ( a  ( small wave  )  )  )  )  ) 	3.9	7772
NEUTRAL	 (  ( A bicyclist  )  ( is  (  ( holding  (  ( a bike  )  ( over  ( his head  )  )  )  )  ( in  ( a_group  ( of people  )  )  )  )  )  ) 	 (  ( A cyclist  )  ( is  ( being  ( held  ( over  (  ( the heads  )  ( of  ( a_group  ( of  ( people  ( with  ( the bike  )  )  )  )  )  )  )  )  )  )  )  ) 	3.4	6203
NEUTRAL	 (  (  ( A  ( young woman  )  )  ( with  (  ( Indian  (  ( clothing and  ) henna  )  )  ( on  ( her hand  )  )  )  )  )  ( is  ( going  ( through paperwork  )  )  )  ) 	 (  ( A woman  )  ( is  ( wearing  (  (  ( a  ( colorful shirt  )  ) and  )  (  ( a lot  )  ( of jewelry  )  )  )  )  )  ) 	2.4	9125
CONTRADICTION	 ( A_man  ( is  (  ( slicing a_potato  )  ( into pieces  )  )  )  ) 	 ( A_man  (  ( is not  )  ( cutting a_potato  )  )  ) 	4	4831
NEUTRAL	 (  ( An officer  )  ( is  ( talking  ( to  ( the recruits  )  )  )  )  ) 	 ( Recruits  ( are  ( talking  ( to  ( an officer  )  )  )  )  ) 	3.7	4934
ENTAILMENT	 ( A_girl_in_blue_sweater  ( is_holding_a_multicolor_toy_and  ( is  ( sitting  ( on  ( the_shoulders  ( of  (  ( an  ( old man  )  ) with_grey_hair  )  )  )  )  )  )  )  ) 	 ( A_girl_in_blue_sweater  ( is_holding_a_multicolor_toy_and  ( is  ( sitting  ( on  ( the_shoulders  ( of  (  ( a man  ) with_grey_hair  )  )  )  )  )  )  )  ) 	4.6	8471
ENTAILMENT	 ( A_hiker  ( is_on_top_of_the_mountain_and  ( is  ( doing  ( a  ( joyful dance  )  )  )  )  )  ) 	 ( A_hiker  ( is_on_top_of_the_mountain_and  ( is dancing  )  )  ) 	4.7	253
CONTRADICTION	 (  ( The man  )  ( is tossing_a_kid_into_the_swimming_pool_that_is_near_the_ocean  )  ) 	 (  ( A man  )  (  ( is n't  ) tossing_a_kid_into_the_swimming_pool_that_is_near_the_ocean  )  ) 	3.5	630
ENTAILMENT	 ( A_man  ( is  ( playing a_guitar  )  )  ) 	 ( A_man  ( is  ( strumming a_guitar  )  )  ) 	4.9	1495
NEUTRAL	 (  ( A  ( young  ( ,  ( topless woman  )  )  )  )  ( is  ( covered  ( in paint  )  )  )  ) 	 (  ( Some instruments  )  ( are  ( being  ( played  ( by  ( a band  )  )  )  )  )  ) 	1	9838
NEUTRAL	 (  ( A child  )  ( is  ( experiencing  ( a  ( new world  )  )  )  )  ) 	 (  (  ( A boy  )  ( under  ( an umbrella  )  )  )  ( is  ( being  ( held  ( by  (  ( his father  )  ( who  ( is  ( wearing  ( a  ( blue coat  )  )  )  )  )  )  )  )  )  )  ) 	1.5	7734
NEUTRAL	 (  ( A flute  )  ( is  ( being  ( played  ( by  ( a man  )  )  )  )  )  ) 	 (  ( The adult  )  ( is  ( playing  (  ( the guitar  ) loudly  )  )  )  ) 	2.4	1807
NEUTRAL	 (  ( A man  )  ( is  (  ( breaking tiles  )  ( with  ( his hands  )  )  )  )  ) 	 ( There  ( is  (  ( no man  )  (  ( breaking  ( wooden boards  )  )  ( with  ( his hand  )  )  )  )  )  ) 	2.9	4031
NEUTRAL	 ( A_man  ( is spitting  )  ) 	 ( A_man  ( is  ( talking  ( on  ( the radio  )  )  )  )  ) 	1.7	1443
ENTAILMENT	 ( Garlic  ( is  ( being  ( chopped  ( by  ( a woman  )  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( chopping garlic  )  )  ) 	4.7	4963
NEUTRAL	 (  ( A man  )  ( is  (  ( standing  ( on  (  ( the top  )  ( of  ( the rocks  )  )  )  )  )  ( with  ( clouds  ( behind them  )  )  )  )  )  ) 	 ( Somebody  ( is  ( standing  ( on  ( a  ( mountain top  )  )  )  )  )  ) 	3.1	7374
NEUTRAL	 (  (  (  (  ( A_dog  ( next  ( to  ( a tree  )  )  )  ) ,  )  ( which  (  ( is probably  )  ( a pine  )  )  )  ) ,  )  ( is  ( biting  ( a bucket  )  )  )  ) 	 (  ( A_dog  ( which  ( is  (  ( furry and  ) black  )  )  )  )  (  (  ( is  ( in  ( a  ( back yard  )  )  )  ) and  )  ( is  ( carrying  (  ( a basket  )  ( in  ( its mouth  )  )  )  )  )  )  ) 	2.785	698
NEUTRAL	 (  ( The people  )  (  ( are not  )  ( sitting  ( on  ( a_bench  ( in  ( front  ( of  ( a restaurant  )  )  )  )  )  )  )  )  ) 	 (  ( Three people  )  ( are  ( sitting  ( on  ( a_bench  ( under  ( some  ( palm trees  )  )  )  )  )  )  )  ) 	3.2	6740
ENTAILMENT	 (  (  ( The group  ) of_people  ) is_standing_together_and_looking_at_the_camera  ) 	 (  (  ( A group  ) of_people  ) is_standing_together_and_looking_at_the_camera  ) 	5	7093
NEUTRAL	 (  ( A  ( young child  )  )  ( is  ( splashing  ( in the_water  )  )  )  ) 	 (  ( The  ( small child  )  )  (  (  ( is  ( walking  ( through the_water  )  )  ) and  )  ( is  ( being  ( guided  ( by  ( another person  )  )  )  )  )  )  ) 	3.4	6042
NEUTRAL	 (  ( Two dogs  )  ( are  ( playing  ( in  ( a forest  )  )  )  )  ) 	 (  ( A  ( brown dog  )  )  ( is  ( running  ( after  (  ( a  ( black dog  )  )  ( on  ( a  ( rocky shore  )  )  )  )  )  )  )  ) 	2.3	9029
ENTAILMENT	 ( A_yellow_dog  ( is  ( running  ( on  ( white_snow  ( on  ( a  ( very sunny_day  )  )  )  )  )  )  )  ) 	 ( A_yellow_dog  ( is  ( running  ( on  ( white_snow  ( on  ( a sunny_day  )  )  )  )  )  )  ) 	4.6	6315
NEUTRAL	 (  ( Four athletes  )  ( are  ( with  (  ( a woman  )  ( in  ( a  ( crowded stadium  )  )  )  )  )  )  ) 	 (  (  ( A person  )  ( in  ( a  ( pink jacket  )  )  )  )  ( is  ( running  ( onto  ( the field  )  )  )  )  ) 	2	7932
NEUTRAL	 (  ( The woman  )  ( is  ( holding  ( a  ( whole tomato  )  )  )  )  ) 	 ( Someone  ( is  ( cutting  ( a tomato  )  )  )  ) 	3.5	2402
NEUTRAL	 (  ( Two  ( sumo ringers  )  )  ( are fighting  )  ) 	 (  ( A man  )  ( is  ( riding  (  ( a  ( water toy  )  )  ( in  ( the water  )  )  )  )  )  ) 	1	5119
ENTAILMENT	 (  (  ( A group  )  ( of people  )  )  ( is singing  )  ) 	 (  ( Some people  )  ( are singing  )  ) 	4.7	2476
ENTAILMENT	 ( A_flute  ( is  ( being  (  ( played  ( in  ( a  ( lovely way  )  )  )  ) by_a_girl  )  )  )  ) 	 ( A_flute  ( is  ( being  ( played by_a_girl  )  )  )  ) 	4.6	1754
NEUTRAL	 (  ( A woman  )  ( is  (  ( pouring ingredients  )  ( into  ( a bowl  )  )  )  )  ) 	 (  ( The chef  )  ( is  ( seasoning  ( the oil  )  )  )  ) 	3.1	5909
NEUTRAL	 ( There  ( is  (  ( no  ( brown  ( dog standing  )  )  ) in_the_water  )  )  ) 	 (  (  ( A dog  )  ( with  ( golden fur  )  )  )  ( is in_the_water  )  ) 	2.8	6001
ENTAILMENT	 (  (  ( Two kids  )  ( are  (  ( looking up  )  ( at  ( the_camera_and one  )  )  )  )  )  ( is  (  ( sticking out  ) his_tongue  )  )  ) 	 (  ( A  ( little boy  )  )  ( is  (  (  ( sticking his_tongue  ) out  )  ( for  (  ( the_camera_and  ( another boy  )  )  ( is  ( looking on  )  )  )  )  )  )  ) 	4.4	9747
CONTRADICTION	 (  ( A woman  )  ( is  ( playing  ( a flute  )  )  )  ) 	 (  ( The woman  )  (  ( is not  )  ( playing  ( the flute  )  )  )  ) 	3.2	2886
NEUTRAL	 (  ( Two teams  )  ( are  ( competing  ( in  ( a  ( football match  )  )  )  )  )  ) 	 (  ( A player  )  ( is  ( throwing  ( the ball  )  )  )  ) 	2.9	116
NEUTRAL	 (  ( A woman  )  ( is  ( playing  ( the flute  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( a flute  )  )  )  ) 	3.7	5461
NEUTRAL	 ( A_woman  ( is  ( tapping her_fingers  )  )  ) 	 ( A_woman  ( is  (  ( resting her_fingers  )  ( on  ( a table  )  )  )  )  ) 	3.1	2231
NEUTRAL	 ( Some_ingredients  ( are  ( being  (  ( mixed in_a_bowl  ) by_a_person  )  )  )  ) 	 ( Some_ingredients  ( are  ( being  (  ( separated in_a_bowl  ) by_a_person  )  )  )  ) 	4.6	1628
NEUTRAL	 ( A_monkey  ( is  (  ( teasing  ( a dog  )  )  ( at  ( the zoo  )  )  )  )  ) 	 ( A_monkey  ( is  ( pulling  (  ( a  ( dog 's  )  ) tail  )  )  )  ) 	4.4	4814
ENTAILMENT	 (  (  ( The food  )  ( on  ( the trays  )  )  )  ( is  ( being  ( eaten  ( by  ( the kittens  )  )  )  )  )  ) 	 (  ( A  ( few kittens  )  )  ( are eating  )  ) 	4.2	1881
NEUTRAL	 (  ( The woman  )  (  ( is not  )  (  ( putting pasta  )  ( into  ( a dish  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( pulling  (  ( some  ( sticky goo  )  )  ( out  ( of  ( a bowl  )  )  )  )  )  )  ) 	2.2	5206
NEUTRAL	 (  ( A man  )  ( is  ( doing pull-ups  )  )  ) 	 (  ( The man  )  ( is  ( doing  ( exercises  ( in  ( a gym  )  )  )  )  )  ) 	4	4891
NEUTRAL	 (  ( A  ( grey dog  )  )  ( is  (  ( bouncing  ( a  ( soccer ball  )  )  )  ( on  (  ( its head  )  ( in  ( a  ( grass field  )  )  )  )  )  )  )  ) 	 (  (  ( A dog  )  ( with  ( a  ( blue collar  )  )  )  )  ( is  ( playing  ( with  ( the  ( ball outside  )  )  )  )  )  ) 	3.4	9102
NEUTRAL	 (  ( A girl  )  ( is  ( practicing  ( the piano  )  )  )  ) 	 (  ( A  ( little girl  )  )  ( is  (  ( playing  ( a  ( grand piano  )  )  )  ( on stage  )  )  )  ) 	3.8	2842
CONTRADICTION	 ( A_man  (  ( is not  )  ( rock  (  (  ( climbing and  )  (  ( a_city and  ) a_bay  )  ) are_in_the_background  )  )  )  ) 	 ( A_man  ( is  (  (  (  (  ( rock climbing  ) and  ) a_city  ) and  )  ( a_bay are_in_the_background  )  )  )  ) 	4.4	8632
NEUTRAL	 (  ( A woman  )  ( is exercising  )  ) 	 (  ( A person  )  ( is dancing  )  ) 	3	4866
NEUTRAL	 (  (  (  ( A_woman ,  )  ( who  ( is old  )  )  ) ,  )  ( is  ( near  ( a  ( white dog  )  )  )  )  ) 	 (  (  ( A_woman and  )  ( a dog  )  )  ( are  ( sitting  ( on  ( a  ( tree stump  )  )  )  )  )  ) 	3.1	780
NEUTRAL	 (  (  ( A  ( blonde boy  )  )  ( in green  )  )  ( is  ( sitting on_a_swing  )  )  ) 	 ( There  ( is  (  ( no  ( little girl  )  )  ( with  (  ( blond hair  )  (  (  ( smiling and  ) sitting  ) on_a_swing  )  )  )  )  )  ) 	3.185	6955
NEUTRAL	 (  ( A woman  )  ( is  ( riding  ( a horse  )  )  )  ) 	 (  ( A man  )  ( is  ( opening  (  ( a  ( small package  )  )  ( that  ( contains headphones  )  )  )  )  )  ) 	1	1102
ENTAILMENT	 ( The_girl  ( has  ( red_hair_and_eyebrows_,_several_piercings_in_a_ear_and  (  ( a drawing  ) on_the_back  )  )  )  ) 	 ( The_girl  ( has  ( red_hair_and_eyebrows_,_several_piercings_in_a_ear_and  (  ( a tattoo  ) on_the_back  )  )  )  ) 	4.4	8138
NEUTRAL	 (  ( One man  )  ( is  ( sitting  ( on  ( the chair  )  )  )  )  ) 	 (  (  (  (  ( The girl  ) ,  )  ( who  ( is little  )  )  ) ,  )  ( is  ( ruffling  ( her hair  )  )  )  ) 	1	1847
CONTRADICTION	 ( There  ( is  (  ( no man  )  ( eating food  )  )  )  ) 	 (  ( A man  )  ( is  ( eating  ( a pizza  )  )  )  ) 	3.2	4114
NEUTRAL	 (  ( A woman  ) is_buttering_a_piece_of_bread  ) 	 (  ( A man  ) is_buttering_a_piece_of_bread  ) 	3.5	5148
NEUTRAL	 (  ( A_group  ( of boys  )  ) is_playing_soccer_on_the_beach  ) 	 (  ( A_group  ( of men  )  ) is_playing_soccer_on_the_beach  ) 	4.4	4707
ENTAILMENT	 ( A_man_in_a_white_shirt_and_sunglasses_and_a_man_in_a_black_shirt_and_sunglasses  ( are  ( sitting  ( at  ( a_table  ( with  ( four  ( beer bottles  )  )  )  )  )  )  )  ) 	 ( A_man_in_a_white_shirt_and_sunglasses_and_a_man_in_a_black_shirt_and_sunglasses  ( are  ( sitting  ( at  ( a_table  ( with  (  ( four bottles  )  ( of beer  )  )  )  )  )  )  )  ) 	4.9	7477
ENTAILMENT	 (  ( The woman  )  ( is  (  ( putting pasta  ) into_a_dish  )  )  ) 	 ( Pasta  ( is  ( being  (  ( put into_a_dish  )  ( by  ( a woman  )  )  )  )  )  ) 	5	5203
NEUTRAL	 (  (  ( Two dogs  )  ( of  ( different breeds  )  )  )  ( are  ( looking  ( at  (  ( each other  )  ( across  ( a street  )  )  )  )  )  )  ) 	 (  ( One  ( white dog  )  )  ( is  ( staring  ( at  ( the  ( black street  )  )  )  )  )  ) 	3.4	687
ENTAILMENT	 ( A_skateboarder  ( is  (  ( jumping off  ) a_ramp  )  )  ) 	 ( A_skateboarder  ( is  (  ( making  ( a jump  )  )  ( off a_ramp  )  )  )  ) 	4.8	8678
NEUTRAL	 (  ( The woman  )  (  ( is not  )  (  ( putting pasta  )  ( into  ( a dish  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( pulling  (  ( some  ( sticky goo  )  )  ( out  ( of  ( a bowl  )  )  )  )  )  )  ) 	2.2	5206
NEUTRAL	 (  ( An  ( elegant woman  )  )  (  (  (  ( is inside  )  (  ( a crowd  )  ( of people  )  )  ) and  )  ( is  ( looking down  )  )  )  ) 	 (  ( An  ( Asian woman  )  )  ( is  ( holding  ( a  ( fur scarf  )  )  )  )  ) 	2.2	7938
CONTRADICTION	 (  ( A little_boy  )  (  (  ( is wearing_a_green_soccer_strip  ) and  )  ( is running_on_the_grass  )  )  ) 	 ( There  ( is  (  ( no little_boy  )  (  ( wearing_a_green_soccer_strip and  ) running_on_the_grass  )  )  )  ) 	3.6	7649
ENTAILMENT	 (  ( One man  )  ( is  (  ( running down  )  ( the road  )  )  )  ) 	 (  ( A man  )  ( is running  )  ) 	4.4	2430
CONTRADICTION	 ( There  ( is  (  ( no girl  ) playing_a_flute  )  )  ) 	 (  ( A girl  )  ( is playing_a_flute  )  ) 	3.6	5310
ENTAILMENT	 (  (  (  (  ( A child  ) ,  )  ( who  ( is small  )  )  ) ,  )  (  ( is outdoors  )  (  ( climbing  ( steps outdoors  )  )  ( in  (  ( an area  )  ( full  ( of grass  )  )  )  )  )  )  ) 	 (  ( A  ( small child  )  )  ( is  ( outdoors  ( climbing  ( steps  ( in  ( a  ( grassy area  )  )  )  )  )  )  )  ) 	4.9	6705
NEUTRAL	 (  ( The men  ) are_talking  ) 	 (  ( Some  ( old women  )  ) are_talking  ) 	3	4429
NEUTRAL	 ( The_cat  ( is  ( looking_out  ( the_window  ( at  ( the_table  ( on  ( the perch  )  )  )  )  )  )  )  ) 	 (  ( The_cat  ( perched  ( on the_table  )  )  )  ( is  ( looking_out the_window  )  )  ) 	4.1	3485
NEUTRAL	 (  ( A  ( young girl  )  )  ( is  ( standing  ( on  ( one leg  )  )  )  )  ) 	 (  ( A  ( young female  )  )  ( is dancing  )  ) 	3.3	6590
NEUTRAL	 ( People  ( are  (  (  ( riding and  ) paddling  ) a_raft  )  )  ) 	 (  ( Four people  )  ( are  ( floating  ( on a_raft  )  )  )  ) 	4.2	2527
NEUTRAL	 (  ( A  ( football player  )  )  ( is  ( wearing  ( black armbands  )  )  )  ) 	 (  ( An  ( American footballer  )  )  ( is  ( wearing  ( the  (  (  ( red and  ) white  ) strip  )  )  )  )  ) 	2.4	7410
ENTAILMENT	 ( The_cat  ( is  ( playing  ( passionately with_a_watermelon  )  )  )  ) 	 ( The_cat  ( is  ( playing with_a_watermelon  )  )  ) 	4.7	2284
NEUTRAL	 (  ( A man  )  ( is  (  (  ( squatting  ( in brush  )  ) and  )  ( taking  ( a photo  )  )  )  )  ) 	 (  (  ( A girl  )  ( in  (  ( gold and  ) purple  )  )  )  ( is  ( holding  ( a  ( rainbow afghan  )  )  )  )  ) 	1	9789
ENTAILMENT	 ( A_person  ( is  (  ( pouring oil  )  ( for  ( cooking into_a_pot  )  )  )  )  ) 	 ( A_person  ( is  (  ( pouring  ( cooking oil  )  ) into_a_pot  )  )  ) 	5	2772
NEUTRAL	 (  ( A  ( skilled person  )  )  ( is  ( riding  (  ( a bicycle  )  ( on  ( one wheel  )  )  )  )  )  ) 	 (  (  ( A person  )  ( in  ( a  ( black jacket  )  )  )  )  ( is  (  ( doing tricks  )  ( on  ( a motorbike  )  )  )  )  ) 	3.4	24
NEUTRAL	 (  ( A_young_girl  ( in a_blue_shirt  )  )  ( is  (  ( walking_on_the_sidewalk and  )  ( holding_up a_pink_sign  )  )  )  ) 	 (  ( A_young_girl  ( by a_pink_sign  )  )  (  (  ( is  ( holding_up a_blue_shirt  )  ) and  )  ( is walking_on_the_sidewalk  )  )  ) 	3.4	6005
ENTAILMENT	 (  ( A  ( large  ( green ball  )  )  ) is_hitting_a_potato  ) 	 (  ( A  ( large  ( green  ( colored ball  )  )  )  ) is_hitting_a_potato  ) 	4.8	2967
NEUTRAL	 (  ( The  ( little boy  )  )  ( is  (  (  ( sticking his_tongue  ) out  )  ( for  (  ( the_camera_and  ( another boy  )  )  ( is  ( looking on  )  )  )  )  )  )  ) 	 (  (  ( Two  ( young boys  )  )  ( are  (  ( looking up  )  ( at  ( the_camera_and one  )  )  )  )  )  ( is  (  ( sticking out  ) his_tongue  )  )  ) 	4.4	9745
CONTRADICTION	 (  ( The man  )  ( is drawing  )  ) 	 ( There  ( is  ( no  ( man drawing  )  )  )  ) 	3.4	4330
NEUTRAL	 (  (  ( A girl  )  ( with  ( red  ( hair  ( and  ( red eyebrows  )  )  )  )  )  )  ( is  ( in midspeech  )  )  ) 	 (  ( The girl  )  ( has  (  (  (  (  (  (  ( red hair  ) and  ) eyebrows  ) ,  )  (  ( several piercings  )  ( in  ( a ear  )  )  )  ) and  )  (  ( no tattoo  )  ( on  ( the back  )  )  )  )  )  ) 	3	8141
ENTAILMENT	 (  (  (  (  ( A woman  ) ,  )  ( who  ( is seated  )  )  ) ,  ) is_singing_a_song_and_playing_the_guitar  ) 	 (  ( A  ( seated woman  )  ) is_singing_a_song_and_playing_the_guitar  ) 	5	2722
ENTAILMENT	 (  ( A woman  )  ( is  ( slicing  ( an octopus  )  )  )  ) 	 (  ( An octopus  )  ( is  ( being  ( sliced  ( by  ( a woman  )  )  )  )  )  ) 	5	5374
ENTAILMENT	 ( A_yellow_dog  ( is  ( running  ( on  ( white_snow  ( on  ( a  ( very sunny_day  )  )  )  )  )  )  )  ) 	 ( A_yellow_dog  ( is  ( running  ( on  ( white_snow  ( on  ( a sunny_day  )  )  )  )  )  )  ) 	4.6	6315
NEUTRAL	 ( A_little_brown_and_white_dog  ( is  ( running  ( on  ( the sidewalk  )  )  )  )  ) 	 ( A_little_brown_and_white_dog  ( is  ( running  ( on  ( the road  )  )  )  )  ) 	3.7	9169
NEUTRAL	 ( A_woman  ( is  ( combing her_hair  )  )  ) 	 ( A_woman  ( is  ( arranging her_hair  )  )  ) 	4.1	1177
ENTAILMENT	 ( A_woman  ( is  ( cutting  ( a lemon  )  )  )  ) 	 ( A_woman  ( is  ( cutting fruit  )  )  ) 	4.2	5498
NEUTRAL	 ( A_woman  ( is  (  ( chopping up  ) garlic  )  )  ) 	 ( A_woman  ( is  (  ( putting away  )  ( the garlic  )  )  )  ) 	3.6	3505
NEUTRAL	 (  ( The snowboarder  )  (  ( is n't  )  ( leaping  ( over  ( white snow  )  )  )  )  ) 	 (  ( A person  )  ( who  ( is  ( practicing  (  ( snowboarding jumps  )  ( into  ( the air  )  )  )  )  )  )  ) 	3.3	1039
NEUTRAL	 ( A_man  ( is  ( praying fervently  )  )  ) 	 ( A_man  ( is dancing  )  ) 	1.7	4196
ENTAILMENT	 (  ( The woman  )  ( is  ( slicing  ( cooked octopus  )  )  )  ) 	 (  ( A woman  )  ( is  (  ( chopping up  )  ( an octopus  )  )  )  ) 	4.4	4288
NEUTRAL	 (  ( A_man  ( in blue  )  )  ( is  ( riding  (  ( a horse  )  ( on  ( a  ( dirt road  )  )  )  )  )  )  ) 	 (  ( A_man  ( in  ( a  ( blue  ( cowboy hat  )  )  )  )  )  ( is  ( riding  ( a  ( white horse  )  )  )  )  ) 	3.9	7877
NEUTRAL	 (  (  ( The woman  )  ( wearing  (  (  (  (  ( silver pants  ) ,  )  ( pink bellbottoms  )  ) and  ) a_pink_scarf  )  )  )  ( is  ( riding  ( a bike  )  )  )  ) 	 (  (  (  ( Pink bellbottoms  ) and  ) a_pink_scarf  )  ( are  ( n't  ( to  ( be  ( worn  ( by  ( women  ( with  ( silver  ( pants  ( or  ( bike  ( riding people  )  )  )  )  )  )  )  )  )  )  )  )  )  ) 	3.3	520
NEUTRAL	 (  (  ( The group  )  ( of  ( dim people  )  )  )  ( is  ( sitting  ( in  ( a room  )  )  )  )  ) 	 (  (  (  ( A man  ) and  )  (  ( two women  )  ( in  ( a  ( darkened room  )  )  )  )  )  ( are  ( sitting  ( at  (  ( a table  )  ( with candles  )  )  )  )  )  ) 	2.5	7475
NEUTRAL	 (  ( An  ( Asian man  )  )  ( is  (  (  ( dancing and  )  ( three kids  )  )  ( are looking  )  )  )  ) 	 (  (  ( The children  )  ( of  ( a family  )  )  )  ( are  (  ( playing and  ) waiting  )  )  ) 	1.9	236
NEUTRAL	 (  (  ( A man  )  ( in  ( blue jeans  )  )  )  ( is  (  ( standing  ( in  ( front  ( of  (  ( a group  )  ( of children  )  )  )  )  )  )  ( beside  (  ( a stone  )  ( built house  )  )  )  )  )  ) 	 (  ( A lady  )  (  (  ( is  ( standing  ( on  ( the street  )  )  )  ) and  )  ( is  ( surrounded  ( by  ( school children  )  )  )  )  )  ) 	2	9200
CONTRADICTION	 (  ( A  ( blond child  )  ) is_going_down_a_slide_and_throwing_up_his_arms  ) 	 (  (  ( A child  )  ( with  ( dark hair  )  )  ) is_going_down_a_slide_and_throwing_up_his_arms  ) 	3.7	9014
NEUTRAL	 (  ( Some women  )  ( are dancing_and_singing  )  ) 	 (  ( A woman  )  ( is  ( dancing_and_singing  ( in  ( the rain  )  )  )  )  ) 	3.8	1237
CONTRADICTION	 ( There  ( is  (  ( no woman  ) putting_meat_in_a_pan  )  )  ) 	 (  ( A woman  )  ( is putting_meat_in_a_pan  )  ) 	3.4	3625
NEUTRAL	 ( There  ( is  (  ( no  ( small  ( bee landing  )  )  )  ( on  (  ( a bunch  )  ( of  ( yellow flowers  )  )  )  )  )  )  ) 	 (  ( A bee  )  ( is  ( clinging  ( to  ( a  ( yellow flower  )  )  )  )  )  ) 	3.9	6598
ENTAILMENT	 (  ( A band  )  ( is  ( playing  ( some instruments  )  )  )  ) 	 (  ( Some instruments  )  ( are  ( being  ( played  ( by  ( a band  )  )  )  )  )  ) 	5	4851
NEUTRAL	 (  (  ( A person  )  ( with  (  (  ( a  ( red  ( hooded jacket  )  )  ) and  )  ( a  ( black backpack  )  )  )  )  )  ( is  ( walking  ( near  ( a  ( rocky wall  )  )  )  )  )  ) 	 (  (  ( A man  )  ( in  (  (  ( a  ( red jacket  )  ) and  )  ( khaki pants  )  )  )  )  ( is  ( walking  ( through  ( an  ( European state  )  )  )  )  )  ) 	3	9371
NEUTRAL	 (  ( A man  )  ( is  ( playing  ( an  ( acoustic guitar  )  )  )  )  ) 	 (  ( The woman  )  (  ( is not  )  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	3	2738
NEUTRAL	 ( There  ( is  (  ( no cat  )  (  ( eating corn  )  ( on  ( the cob  )  )  )  )  )  ) 	 (  ( A cat  )  ( is  ( eating  ( some corn  )  )  )  ) 	2.5	2535
NEUTRAL	 (  ( A bike  )  ( is  ( being  ( ridden  ( over  ( a monkey  )  )  )  )  )  ) 	 (  ( A person  )  ( is  (  ( riding  ( a  ( dirt bike  )  )  )  ( down  ( a  ( dirt hill  )  )  )  )  )  ) 	2.8	9869
